stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
0:1CHAMAU,,EGL. CH. ST MAURICE,,45.7787161,6.1500879,,0,1:CHAMAU,
0:1CHAMEN,,CHATEAU MENTHON,,45.8660182,6.2079794,,0,1:CHAMEN,
0:1CHAP,,LES CHAPELLES,,45.8379392,6.1579825,,0,1:CHAP,
0:1CHARV,,CHARVONNEX,,45.9780047,6.1576969,,0,1:CHARV,
0:1CHAT,,LES CHATAIGNIERS,,45.8289558,6.1517962,,0,1:CHAT,
0:1CHAV,,CHAVOIRES,,45.8950574,6.1667025,,0,1:CHAV,
0:1CHDA,,CHEZ DAVIET,,45.8290441,6.187807,,0,1:CHDA,
0:1CHDF,,CHAVANOD - FIER,,45.8822734,6.0495786,,0,1:CHDF,
0:1CHE,,CHEVESNES,,45.9044341,6.1087643,,0,1:CHE,
0:1CHF,,CHAMP FARCON,,45.9404188,6.1303268,,0,1:CHF,
0:1CHFEV,,CHEF LIEU EVIRES,,46.0368608,6.224654,,0,1:CHFEV,
0:1CHGA,,CHEZ GARDET,,45.8276231,6.1562706,,0,1:CHGA,
0:1CHJP,,SEMNOZ BAUGES,,45.7812309,6.1081652,,0,1:CHJP,
0:1CHL,,CHAPELLE,,45.9034157,6.1035177,,0,1:CHL,
0:1CHM,,MAIRIE - ISETA - ECA,,45.8845984,6.0525848,,0,1:CHM,
0:1CHMA,,CHAVANOD MAIRIE,,45.8835471,6.055804,,0,1:CHMA,
0:1CHN,,CHENONCEAU,,45.9170198,6.0954397,,0,1:CHN,
0:1CHO,,CHORUS,,45.9075866,6.1065281,,0,1:CHO,
0:1CHP,,CHAPELAINES,,45.9203047,6.1475066,,0,1:CHP,
0:1CHPL,,CHAMPLANCHE,,45.9382141,6.0961532,,0,1:CHPL,
0:1CHRU,,CHEZ RUFFIER,,45.8242819,6.1847475,,0,1:CHRU,
0:1CHS,,CHASSEURS,,45.9065785,6.1607809,,0,1:CHS,
0:1CHT,,CHATELARD,,45.8375325,6.0684685,,0,1:CHT,
0:1CHV,,FRUITIERE,,45.8844703,6.0629781,,0,1:CHV,
0:1CHVE,,CHEF LIEU VEYRIER,,45.8839162,6.1772288,,0,1:CHVE,
0:1CHX,,CHAUX,,45.8410466,6.0591873,,0,1:CHX,
0:1CIL,,CIMETIERE DES ILES,,45.9156844,6.1129798,,0,1:CIL,
0:1CLI,,CHEF LIEU,,45.9440928,6.122604,,0,1:CLI,
0:1CLO,,LE CLOS,,45.8571687,6.138344,,0,1:CLO,
0:1CLT,,CHEZ LEVET,,45.9471831,6.0954174,,0,1:CLT,
0:1CMY,,COLMYR,,45.891181,6.1392871,,0,1:CMY,
0:1CNO,,CHAMPANOD,,45.8751698,6.0342717,,0,1:CNO,
0:1CNT,,CONTAMINES,,45.9124279,6.1416857,,0,1:CNT,
0:1COB,,CORBIER,,45.8801987,6.0559926,,0,1:COB,
0:1COFF,,CHEZ COFFY,,45.8673197,6.2100676,,0,1:COFF,
0:1COL,,COLOMBIERE,,45.9253931,6.123907,,0,1:COL,
0:1COLFO,,COL DE LA FORCLAZ,,45.8083489,6.2448348,,0,1:COLFO,
0:1COLL,,ST JORIOZ COLLEGE,,45.8346297,6.1622411,,0,1:COLL,
0:1COM,,COMBES,,45.887147,6.0917617,,0,1:COM,
0:1COR,,CORDELIERS,,45.8849336,6.1011737,,0,1:COR,
0:1COU,,COULOUTTE,,45.9190006,6.0703857,,0,1:COU,
0:1CPI,,CHEMIN DU PIEU,,45.8495413,6.0848177,,0,1:CPI,
0:1CPO,,CHAMP PONTAY,,45.9484245,6.0991175,,0,1:CPO,
0:1CRE,,CARRES,,45.9125559,6.1435651,,0,1:CRE,
0:1CRFI,,CROIX DE FILLY,,45.8283048,6.1695746,,0,1:CRFI,
0:1CRGU,,CROIX GUERRES,,45.8749073,6.1820598,,0,1:CRGU,
0:1CRHE,,CROIX D'HERE,,45.8240455,6.1966189,,0,1:CRHE,
0:1CRI,,COURIER,,45.9042057,6.1245646,,0,1:CRI,
0:1CRL,,RULLAND,,45.9157372,6.1155609,,0,1:CRL,
0:1CRO,,CROIX-ROUGE,,45.8941372,6.1184439,,0,1:CRO,
0:1CROZ,,CROZETTE,,45.8784164,6.1806624,,0,1:CROZ,
0:1CRR,,VIRE MOULIN,,45.9288831,6.121535,,0,1:CRR,
0:1CRS,,CREUSETTES,,45.9176321,6.0835825,,0,1:CRS,
0:1CRT,,CREUSETTES,,45.9173456,6.0835148,,0,1:CRS,
0:1CRU,,RULLAND,,45.9158163,6.1162884,,0,1:CRL,
0:1CRV,,CREVION,,45.8668303,6.0424553,,0,1:CRV,
0:1CSA,,CHAVANOD STADE,,45.8822603,6.0520682,,0,1:CSA,
0:1CSP,,COMPLEXE SPORTIF,,45.8852542,6.0884812,,0,1:CSP,
0:1CST,,CHAVANOD STADE,,45.8822443,6.0523254,,0,1:CSA,
0:1CTE,,COTE,,45.8064405,6.2553928,,0,1:CTE,
0:1CUL,,CULAZ,,45.8714661,6.0990099,,0,1:CUL,
0:1CVE,,LES CONVERS,,45.9451132,6.1430341,,0,1:CVE,
0:1CVH,,MEYTHET H. DE VILLE,,45.9158782,6.0923672,,0,1:CVH,
0:1CVI,,CHATEAU-VIEUX,,45.8714568,6.0858505,,0,1:CVI,
0:1CYG,,CYGNES,,45.9085485,6.1457247,,0,1:CYG,
0:1CYN,,CYGNES,,45.908623,6.1453159,,0,1:CYG,
0:1DON,,DONZIERE,,45.8900115,6.1033178,,0,1:DON,
0:1DOU,,DOUCY,,45.9823675,6.1573398,,0,1:DOU,
0:1DUI,,DUINGT PLAGE,,45.8273561,6.1971458,,0,1:DUI,
0:1ECH,,ECHARVINES,,45.8530205,6.2045536,,0,1:ECH,
0:1ECL,,ECOLES,,45.8388881,6.2169489,,0,1:ECL,
0:1ECO,,ECOLE,,45.9384828,6.104435,,0,1:ECO,
0:1ECU,,ECUREUILS,,45.9072407,6.152234,,0,1:ECU,
0:1EDB,,EGLISE DES BRESSIS,,45.8929079,6.101545,,0,1:EDB,
0:1EDF,,EGLISE DES FINS,,45.9113721,6.1238478,,0,1:EDF,
0:1EDW,,PLAINE EDELWEISS,,45.9189864,6.1268104,,0,1:EDW,
0:1EGLS,,DUINGT EGLISE,,45.8273703,6.2023676,,0,1:EGLS,
0:1EGLSV,,EGLISE SEVRIER,,45.8640741,6.1421554,,0,1:EGLSV,
0:1EGSTJO,,EGLISE ST JORIOZ,,45.8320913,6.1618119,,0,1:EGSTJO,
0:1EME,,EMELIE,,45.8876148,6.0646626,,0,1:EME,
0:1EMT,,EPAGNY METZ-TESSY,,45.9349275,6.0851709,,0,1:EMT,
0:1ENTR,,ENTREDOZON,,45.8108993,6.1439091,,0,1:ENTR,
0:1EP2,,ENTREE PARC,,45.9225466,6.1659845,,0,1:EPA,
0:1EPA,,ENTREE PARC,,45.9226245,6.1648138,,0,1:EPA,
0:1EPAG,,EPAGNY,,45.8341334,6.1506609,,0,1:EPAG,
0:1EPI,,EPINETTES,,45.9162153,6.0537687,,0,1:EPI,
0:1ERE,,ESPACE RENCONTRE,,45.9248587,6.1558122,,0,1:ERE,
0:1ERG,,EPAGNY-ROGEMONT,,45.9464705,6.0891765,,0,1:ERG,
0:1EST,,L'ESTY,,45.8839616,6.0581368,,0,1:EST,
0:1ETE,,ETERZY,,45.8960939,6.0749818,,0,1:ETE,
0:1EVA,,ESPACE VALLON,,45.9040405,6.0997965,,0,1:EVA,
0:1EVI,,EVIRE,,45.9235522,6.1363672,,0,1:EVI,
0:1EVR,,EVIRE,,45.9229586,6.1359977,,0,1:EVI,
0:1EVV,,L'EAU VIVE,,45.8571525,6.0892417,,0,1:EVV,
0:1FBA,,FRANCE BARATTES,,45.9068587,6.1397286,,0,1:FBA,
0:1FERR,,FERRAMANT,,45.9752928,6.154116,,0,1:FERR,
0:1FIE,,FIER,,45.9212669,6.1209225,,0,1:FIE,
0:1FLE,,FLEOLES,,45.8823789,6.0706425,,0,1:FLE,
0:1FMA,,FRANCE MAQUIS,,45.9203767,6.1312796,,0,1:FMA,
0:1FMB,,FRANCE MONT-BLANC,,45.9131765,6.1351697,,0,1:FMB,
0:1FMQ,,FRANCE MAQUIS,,45.9197578,6.1318255,,0,1:FMA,
0:1FOR,,FORUM,,45.910341,6.1216979,,0,1:FOR,
0:1FORT,,FORCLAZ Term,,45.8075515,6.2490535,,0,1:FORT,
0:1FRET,,COL DE LA FRETALLAZ,,45.965573,6.1465158,,0,1:FRET,
0:1FTH,,FRANCE THONES,,45.9106291,6.1376584,,0,1:FTH,
0:1GAL,,GALBERT,,45.9083168,6.1238553,,0,1:GAL,
0:1GALI,,GALILEO,,45.8953775,6.0814338,,0,1:GALI,
0:1GAMB,,GAMBETTA,,45.9118231,6.131,,0,1:GAMB,
0:1GAR,,GARENNES,,45.9143358,6.1006469,,0,1:GAR,
0:1GB2,,GENEVE BELLEVUE,,45.9198075,6.1235127,,0,1:GBE,
0:1GBE,,GENEVE BELLEVUE,,45.9198069,6.1238613,,0,1:GBE,
0:1GCH,,GRANDS CHAMPS,,45.9385642,6.10081,,0,1:GCH,
0:1GDA,,GRAND ANNECY,,45.9108839,6.1147571,,0,1:GDA,
0:1GDG,,GENERAL DE GAULLE,,45.911152,6.1314783,,0,1:GDG,
0:1GDT,,LES GRANDES TEPPES,,45.9233341,6.0892864,,0,1:GDT,
0:1GE,,GRAND EPAGNY,,45.9402462,6.0725262,,0,1:GEP,
0:1GED,,GENDARMERIE LA BALME,,45.9579403,6.0396741,,0,1:GED,
0:1GEN,,GENOTTES,,45.9381647,6.1084728,,0,1:GEN,
0:1GEND,,GENDARMERIE,,45.832179,6.17186,,0,1:GEND,
0:1GENO,,GENON,,45.9495428,6.1118929,,0,1:GENO,
0:1GEP,,GRAND EPAGNY,,45.9405205,6.0740399,,0,1:GEP,
0:1GER,,GERBIER,,45.9434931,6.1416627,,0,1:GER,
0:1GET,,GEVRIER,,45.9008277,6.0920647,,0,1:GET,
0:1GEV,,GEVRIER,,45.9006379,6.0930738,,0,1:GET,
0:1GFG,,GRAFENBERG,,45.9379398,6.1238309,,0,1:GFG,
0:1GFI,,GENEVE FIER,,45.9227344,6.1239111,,0,1:GFI,
0:1GHA,,GLAISINS HAMEAU,,45.9228035,6.1629258,,0,1:GHA,
0:1GIL,,GILLON,,45.9268618,6.0855068,,0,1:GIL,
0:1GLAI,,GLAISINS,,45.9298048,6.1683601,,0,1:GLAI,
0:1GLF,,GALERIES LAFAYETTE,,45.9070047,6.1312167,,0,1:GLF,
0:1GNV,,GENEVRIER,,45.8429435,6.060685,,0,1:GNV,
0:1GOU,,GOUILLON,,45.9164809,6.0552811,,0,1:GOU,
0:1GPE,,GERMAIN PERREARD,,45.9096033,6.1118445,,0,1:GPE,
0:1GPR,,GRANDS PRES,,45.9450614,6.1080484,,0,1:GPR,
0:1GRA,,GRANGES,,45.9403962,6.136022,,0,1:GRA,
0:1GRC,,GROISY CHATEAU,,46.0095517,6.1707608,,0,1:GRC,
0:1GRF,,GREFFONS,,45.9151948,6.0807606,,0,1:GRF,
0:1GRG,,LES GRANGES,,45.8468202,6.2140586,,0,1:GRG,
0:1GRM,,GROISY MAIRIE,,46.0166948,6.1708881,,0,1:GRM,
0:1GRO,,GROTTES,,45.9088995,6.160927,,0,1:GRO,
0:1GROI,,GROISY,,46.018137,6.1702339,,0,1:GROI,
0:1GSC,,GROUPE SCOLAIRE,,45.9462297,6.1193018,,0,1:GSC,
0:1GUY,,GUYNEMER,,45.8926226,6.0968312,,0,1:GUY,
0:1GVE,,GENEVE VERNET,,45.9163996,6.1238876,,0,1:GVE,
0:1GVI,,GDES VIGNES LA BALME,,45.9748457,6.032274,,0,1:GVI,
0:1GVS,,GALERIE VAL SEMNOZ,,45.875106,6.0858742,,0,1:GVS,
0:1HAT,,HAUTEVILLE,,45.9055257,6.0982148,,0,1:HAT,
